ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,Front,Side1,LotSF,Add#,Street,laglng,latlng
44900102000,4901-17 Cote Brilliante Av,1,55,301,Vacant Lot,,,130.96,146.23,19121.0,4901,Cote Brilliante,"{'lat': 38.6646824, 'lng': -90.257255}","{'lat': 38.6646824, 'lng': -90.257255}"
44930200900,4934 St Louis Av,1,55,301,Vacant Lot,,,28.0,128.0,3543.0,4934,St Louis,"{'lat': 38.6705789, 'lng': -90.253961}","{'lat': 38.6705789, 'lng': -90.253961}"
44930202300,4913 Terry Av,1,55,301,Vacant Lot,,,2.25,127.92,288.0,4913,Terry,"{'lat': 38.669976, 'lng': -90.25358299999999}","{'lat': 38.669976, 'lng': -90.25358299999999}"
44930203500,4953 Terry Av,1,55,301,Vacant Lot,,,25.0,127.94,3371.0,4953,Terry,"{'lat': 38.670487, 'lng': -90.25476599999999}","{'lat': 38.670487, 'lng': -90.25476599999999}"
52600002400,4909 St Louis Av,1,55,301,Vacant Lot,,,36.0,127.5,4590.0,4909,St Louis,"{'lat': 38.6706708, 'lng': -90.25289130000002}","{'lat': 38.6706708, 'lng': -90.25289130000002}"
52600002500,4909 1/2 St Louis Av,1,55,301,Vacant Lot,,,1.0,127.5,317.0,4909,St Louis,"{'lat': 38.6706708, 'lng': -90.25289130000002}","{'lat': 38.6706708, 'lng': -90.25289130000002}"
52600003300,4933 St Louis Av,1,55,301,Vacant Lot,,,30.0,127.5,4429.0,4933,St Louis,"{'lat': 38.671017, 'lng': -90.253587}","{'lat': 38.671017, 'lng': -90.253587}"
52600003600,4941 St Louis Av,1,55,301,Vacant Lot,,,30.0,127.5,3982.0,4941,St Louis,"{'lat': 38.6711389, 'lng': -90.25386499999999}","{'lat': 38.6711389, 'lng': -90.25386499999999}"
43800300100,4241 N Euclid Av,1,69,302,Vacant Lot,,,33.04,115.0,3255.238551000001,4241,Euclid,"{'lat': 38.6817009, 'lng': -90.24480899999999}","{'lat': 38.6817009, 'lng': -90.24480899999999}"
43800300200,4237 N Euclid Av,1,69,302,Vacant Lot,,,33.33,115.0,4081.752595,4237,Euclid,"{'lat': 38.68159, 'lng': -90.2447612}","{'lat': 38.68159, 'lng': -90.2447612}"
43800300800,4215 N Euclid Av,1,69,302,Vacant Lot,,,26.62,115.0,3061.507721,4215,Euclid,"{'lat': 38.681085, 'lng': -90.245221}","{'lat': 38.681085, 'lng': -90.245221}"
43800301700,4220 Aubert Av,1,69,302,Vacant Lot,,,25.0,115.0,3118.2491210000007,4220,Aubert,"{'lat': 38.6813993, 'lng': -90.2455378}","{'lat': 38.6813993, 'lng': -90.2455378}"
43800301900,4226 Aubert Av,1,69,302,Vacant Lot,,,25.0,120.0,3000.0,4226,Aubert,"{'lat': 38.6815959, 'lng': -90.2454076}","{'lat': 38.6815959, 'lng': -90.2454076}"
43800302000,4230 Aubert Av,1,69,302,Vacant Lot,,,25.0,115.0,3263.2093115,4230,Aubert,"{'lat': 38.681662, 'lng': -90.24536239999999}","{'lat': 38.681662, 'lng': -90.24536239999999}"
43800302100,4232 Aubert Av,1,69,302,Vacant Lot,,,28.0,115.0,2767.0,4232,Aubert,"{'lat': 38.681732, 'lng': -90.24538439999999}","{'lat': 38.681732, 'lng': -90.24538439999999}"
43800302200,4234 Aubert Av,1,69,302,Vacant Lot,,,22.0,115.0,3185.8038335,4234,Aubert,"{'lat': 38.681767, 'lng': -90.245284}","{'lat': 38.681767, 'lng': -90.245284}"
43800401000,4217 Aubert Av,1,69,302,Vacant Lot,,,55.75,117.33,6528.7827065,4217,Aubert,"{'lat': 38.681512, 'lng': -90.246084}","{'lat': 38.681512, 'lng': -90.246084}"
43800401100,4931 Penrose St,1,69,302,Vacant Lot,,,20.0,115.0,2300.0,4931,Penrose,"{'lat': 38.681206, 'lng': -90.246105}","{'lat': 38.681206, 'lng': -90.246105}"
43831600250,4112-4 Walbridge Pl,1,69,302,Vacant Lot,,,164.0,110.0,17533.0,4112,Walbridge,"{'lat': 38.6792826, 'lng': -90.24684169999999}","{'lat': 38.6792826, 'lng': -90.24684169999999}"
