Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
36310000700,2520-8 N Vandeventer Av,4,59,309,Mixed,2 Story Brick Mixed Use Building,,,52.0,100.0,5492.136029,2520,Vandeventer
36380000200,3958 Cote Brilliante Av,4,56,309,Residential,1 Story Brick Residence,,1034.0,50.0,128.8,6259.0,3958,Cote Brilliante
36380000500,3938 Cote Brilliante Av,4,56,309,Residential,1 Story Brick Residence,,1074.0,50.0,123.66,6329.0,3938,Cote Brilliante
36380000600,3934 Cote Brilliante Av,4,56,309,Residential,2 Story Brick Residence,,2374.0,50.0,123.66,6205.0,3934,Cote Brilliante
36380001800,3951 Aldine Av,4,56,309,Residential,2 Story Brick Four Family Flat,,2788.0,50.0,115.66,5912.0,3951,Aldine
36390000450,3942 Garfield Av,4,56,309,Residential,1 Story Brick Residence,,900.0,38.0,123.67,4112.0,3942,Garfield
36390002000,3921 Cote Brilliante Av,4,56,309,Residential,2 Story Brick Residence,,1254.0,21.66,123.66,1818.0,3921,Cote Brilliante
36390002100,3925 Cote Brilliante Av,4,56,309,Residential,2 Story Brick Residence,,1420.0,28.33,123.66,4635.0,3925,Cote Brilliante
36400000200,3966 North Market St,4,56,309,Residential,1 Story Brick Residence,,640.0,25.0,123.0,2439.0,3966,North Market
36400000400,3960 North Market St,4,56,309,Residential,1 Story Brick Residence,,640.0,25.0,123.66,3130.0,3960,North Market
36400000800,3950 North Market St,4,56,309,Residential,1 Story Brick Residence,,640.0,25.0,123.66,1897.0,3950,North Market
36440200500,3918 Kennerly Av,4,56,309,Residential,2 Story Brick Residence,,1440.0,25.0,100.0,2500.0,3918,Kennerly
36440201100,3902 Kennerly Av,4,56,309,Residential,2 Story Brick Residence,,1440.0,25.0,110.0,2813.0,3902,Kennerly
36510201900,4006 Kennerly Av,4,56,309,Residential,2 Story Brick Four Family Flat,,2940.0,43.0,100.0,4300.0,4006,Kennerly
36540002600,4009 North Market St,4,56,309,Residential,1 Story Brick Residence,,962.0,29.5,120.0,3527.0,4009,North Market
36550001500,4022 North Market St,4,56,309,Residential,2 Story Brick Two Family Flat,,,25.0,116.66,3087.0,4022,North Market
36550002400,4000 North Market St,4,56,309,Residential,1 Story Brick Residence,,842.0,31.08,116.75,1337.0,4000,North Market
36560001500,4002 Garfield Av,4,56,309,Residential,2 Story Brick Four Family Flat,,2788.0,65.0,70.0,4550.0,4002,Garfield
36560001550,1815 Bishop P L Scott Av,4,56,309,Residential,2 Story Brick Four Family Flat,,2788.0,46.17,65.0,3000.0,1815,Bishop P L Scott
36560001900,4009 Cote Brilliante Av,4,56,309,Residential,2 Story Brick Residence,,1976.0,25.0,116.0,1338.0,4009,Cote Brilliante
36560002700,4037 Cote Brilliante Av,4,56,309,Mixed,2 Story Brick Mixed Use Building,,1710.0,50.0,116.16,5674.140133,4037,Cote Brilliante
