ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
12480000800,2623 Natural Bridge Av,3,65,314,Residential,3 Story Brick Residence,,1848.0,25.1,127.4,3198.0,2623,Natural Bridge,"{'lat': 38.659255, 'lng': -90.21184300000002}","{'lat': 38.659255, 'lng': -90.21184300000002}"
19260001300,3208 Barrett St,3,67,314,Residential,3 Story Brick Two Family Flat **,,3777.0,30.0,117.5,3587.0,3208,Barrett,"{'lat': 38.661631, 'lng': -90.213971}","{'lat': 38.661631, 'lng': -90.213971}"
19260001800,3209 Harper St,3,67,314,Residential,2 Story Brick Residence,,2468.0,30.0,117.0,3562.0,3209,Harper,"{'lat': 38.6612817, 'lng': -90.2142815}","{'lat': 38.6612817, 'lng': -90.2142815}"
19260002800,3509 Harper St,3,67,314,Residential,2 Story Brick Two Family Flat,,2700.0,40.0,117.5,5235.0,3509,Harper,"{'lat': 38.661824, 'lng': -90.21550390000002}","{'lat': 38.661824, 'lng': -90.21550390000002}"
19270000900,3218 Bailey Av,3,67,314,Residential,2 Story Brick Two Family Flat,,1986.0,50.0,117.5,5973.0,3218,Bailey,"{'lat': 38.662476, 'lng': -90.213686}","{'lat': 38.662476, 'lng': -90.213686}"
19270002200,3231 Barrett St,3,67,314,Residential,2 Story Brick Residence,,2368.0,32.0,117.5,3652.0,3231,Barrett,"{'lat': 38.6622771, 'lng': -90.2143711}","{'lat': 38.6622771, 'lng': -90.2143711}"
19390001100,4034-6 Grove St,3,67,314,Residential,2 Story Brick Four Family Flat,,3672.0,42.0,88.33,3334.0,4034,Grove,"{'lat': 38.66301259999999, 'lng': -90.2115159}","{'lat': 38.66301259999999, 'lng': -90.2115159}"
19450000700,3004 Lee Av,3,67,314,Residential,2 Story Brick Residence,,2014.0,25.0,119.83,3414.0,3004,Lee,"{'lat': 38.66416, 'lng': -90.2111496}","{'lat': 38.66416, 'lng': -90.2111496}"
19450000900,3001 Kossuth Av,3,67,314,Residential,Half of a 2 Story Brick Four Family Flat,,1576.0,16.42,115.0,1888.0,3001,Kossuth,"{'lat': 38.6637195, 'lng': -90.21130529999999}","{'lat': 38.6637195, 'lng': -90.21130529999999}"
19450001000,3003 Kossuth Av,3,67,314,Residential,Half of a 2 Story Brick Four Family Flat,,1458.0,16.16,115.0,1859.0,3003,Kossuth,"{'lat': 38.663803, 'lng': -90.21131}","{'lat': 38.663803, 'lng': -90.21131}"
19460000800,4117 Glasgow Av,3,67,314,Residential,2 Story Brick Residence,,1464.0,25.0,87.42,2186.0,4117,Glasgow,"{'lat': 38.6637197, 'lng': -90.2105325}","{'lat': 38.6637197, 'lng': -90.2105325}"
23970001700,3908 Glasgow Av,3,65,314,Residential,2 Story Brick Two Family Flat,,2112.0,25.75,27.0,1542.0,3908,Glasgow,"{'lat': 38.6613636, 'lng': -90.2118364}","{'lat': 38.6613636, 'lng': -90.2118364}"
23980000800,3922 Vest Av,3,65,314,Residential,3 Story Brick Residence,,1764.0,25.0,127.5,3187.0,3922,Vest,"{'lat': 38.6608956, 'lng': -90.210617}","{'lat': 38.6608956, 'lng': -90.210617}"
